Agent_ID,Task_Type,Execution_Time,Q_Value,Machine_Usage,Energy_Consumption,Production_Efficiency,Security_Event,Anomaly_Detected,Fuzzy_PID_Adjustment,System_Efficiency
A53,Inspection,15.405851566581687,0.7144547200749811,77.71429813901455,34.11307449565601,89.88814549642689,None,Yes,-0.039068630668045584,57.375904778307685
A9,Welding,17.11324672855693,0.9118284997557534,93.5726876166215,51.97034464496531,81.04097276190288,DDoS Attack,No,-0.02488228738392161,59.170462158704
A33,Packaging,19.47088339796668,0.7127470614567692,93.6052964205101,31.261079042924333,82.07807321502656,None,Yes,-0.0006486843034795159,57.6811218949556
A88,Inspection,17.998892414902357,0.6233727498571331,84.34416889194657,33.02965758261997,97.74245902889696,DDoS Attack,No,-0.0295796598716517,60.13030662882878
A26,Drilling,11.813789667354941,0.5422244359043724,96.39031427595799,45.67108552167036,97.41035755058938,None,No,0.04658976299348966,64.51958604134776
A98,Assembly,18.004464431499702,0.6272493782811832,97.69812374687258,36.038449757360745,98.57829578346877,DDoS Attack,No,-0.04624894288726264,62.91208565264961
A10,Drilling,15.927655015244712,0.6169932128813573,92.43586934968155,44.85063819105738,93.21569526571028,None,No,-0.04393689621700452,63.62825241474183
A41,Drilling,5.8527028343621454,0.814941062783253,72.24307121895785,35.342031538409195,89.69623297098042,None,Yes,-0.024711298339144462,58.09172553400788
A15,Assembly,14.582227849963342,0.54531121355685,92.08475788655917,50.952921913766104,89.610843904607,None,No,0.035900529869144174,60.07222121891502
A82,Packaging,5.841084180671511,0.587301324376779,93.84216399762217,52.97446900511525,83.07135043690852,Unauthorized Access,No,0.0012599610261509117,53.4455525613119
A35,Inspection,13.689147597308423,0.5380721652892916,98.02276574328512,43.92093681440502,88.77061061909995,None,No,-0.02224673952219719,61.482147020642344
A88,Packaging,6.6107364087187115,0.7840559115516325,98.74112202519504,57.16697560429652,83.68626342329982,None,No,0.03748663521201191,63.18715044496193
A88,Inspection,10.745067374271184,0.6007059515922374,70.65254171122012,37.58905282742185,89.94101349188314,None,No,0.014785675308505636,58.36212748809985
A23,Assembly,11.188062579680476,0.995497877821826,90.78752891064471,45.537447177191495,98.72598875110434,Unauthorized Access,No,-0.04024238115470405,68.00411412128804
A35,Welding,10.676586037450488,0.5719152895632511,87.08029274102036,49.142841012991866,97.30650391415332,None,No,0.02379870844805143,62.86268180383124
A10,Inspection,16.903643625920587,0.5324305043570562,87.15644594531747,56.85442983184696,93.49595681817787,DDoS Attack,No,0.028748635699407513,54.79283902029107
A67,Assembly,11.599381590721336,0.7687627230152465,87.94040218776905,53.356142900741325,95.67041154254358,None,No,0.048984007213622546,65.89588522480204
A26,Packaging,13.017365062365608,0.9704686627808634,99.07873538548844,53.41254690136604,98.60081365231991,None,No,-0.037885260751726636,73.32419110350632
A32,Welding,17.813864779962998,0.7440110129196337,90.69532145001482,34.58245168323416,80.57151784997653,None,No,-0.029524687015688014,61.789646520062846
A72,Packaging,15.311571198084339,0.7661776382210307,81.5933063287755,51.5424067162334,94.81121063114605,None,No,0.0071426606454544,64.4124576110108
A33,Assembly,9.081652582171376,0.9794569701914138,71.41745966866786,46.28936896733471,98.24765315691755,None,No,-0.025442536491006786,68.54275570359539
A26,Welding,18.951678644120122,0.8325530784063475,77.95458719940729,45.901703367535376,95.85435060755624,None,No,0.04722593541011495,65.99354891427737
